Rv_ID,is_sdr,Function,groups,redox_enzyme,function_redox_,UK_score_4
Rv0083,0.0,Hydrogenase-4 component B (EC 1.-.-.-) / Formate hydrogenlyase subunit 3,0.0,1.0,Function unknown; probably involved in cellular metabolism.,2.0
Rv0084,0.0,Formate hydrogenlyase subunit 4,0.0,1.0,Involved in hydrogen metabolism; FHL pathway.,0.0
Rv0085,0.0,Hydrogenase-4 component E (EC 1.-.-.-),0.0,0.0,,0.0
Rv0086,0.0,Hydrogenase-4 component F (EC 1.-.-.-),0.0,1.0,Possibly involved in hydrogen metabolism.,0.0
Rv0087,0.0,Formate hydrogenlyase subunit 5,0.0,1.0,Involved in hydrogen metabolism; FHL pathway.,0.0
Rv0088,0.0,,0.0,0.0,,0.0
Rv0089,0.0,Methyltransferase/methylase,0.0,0.0,,0.0
Rv0090,0.0,Possible membrane protein,0.0,0.0,,0.0
Rv0091,0.0,5'-methylthioadenosine nucleosidase (EC 3.2.2.16) / S-adenosylhomocysteine nucleosidase (EC 3.2.2.9),0.0,0.0,,0.0
Rv0092,0.0,"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)",0.0,0.0,,0.0
Rv0093c,0.0,Possible membrane protein,0.0,0.0,,0.0
Rv0094c,0.0,Partial REP13E12 repeat protein,0.0,0.0,,0.0
Rv0095c,0.0,Partial REP13E12 repeat protein,0.0,0.0,,0.0
Rv0096,0.0,PPE family protein,0.0,0.0,,0.0
Rv0097,0.0,Oxidoreductase,0.0,0.0,,0.0
Rv0098,0.0,,0.0,0.0,,0.0
Rv0099,0.0,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3),0.0,0.0,,0.0
Rv0100,0.0,,0.0,0.0,,0.0
Rv0101,0.0,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3),0.0,1.0,Involved in lipid metabolism.,0.0
Rv0102,0.0,"Cytochrome c oxidase caa3-type, assembly factor CtaG-related protein",0.0,0.0,,0.0
Rv0103c,0.0,"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)",0.0,0.0,,0.0
Rv0104,0.0,,0.0,1.0,Function unknown,3.0
Rv0105c,0.0,LSU ribosomal protein L28p,0.0,0.0,,0.0
Rv0106,0.0,"Putative metal chaperone, involved in Zn homeostasis, GTPase of COG0523 family",0.0,0.0,,0.0
Rv0107c,0.0,Probable cation-transporting ATPase I (EC 3.6.3.-),0.0,0.0,,0.0
Rv0108c,0.0,,0.0,0.0,,0.0
Rv0109,0.0,PE-PGRS FAMILY PROTEIN,0.0,0.0,,0.0
Rv0110,0.0,FIG056164: rhomboid family serine protease,0.0,0.0,,0.0
Rv0111,0.0,Transmembrane acyltransferase (EC:2.3.1.-),0.0,0.0,,0.0
Rv0112,1.0,"GDP-mannose 4,6 dehydratase (EC 4.2.1.47)",1.0,1.0,Possibly involved in synthesis of a-band common antigen lipopolysaccharide. First of the three steps in the biosynthesis of GDP-fucose from GDP-mannose [catalytic activity: GDP-mannose = GDP-4-dehydro-6-deoxy-D-mannose + H2O].,0.0
Rv0113,0.0,Phosphoheptose isomerase (EC 5.3.1.-),0.0,0.0,,0.0
Rv0114,0.0,,0.0,0.0,,0.0
Rv0115,0.0,"D,D-heptose 7-phosphate kinase",0.0,0.0,,0.0
Rv0116c,0.0,Possible membrane protein,0.0,0.0,,0.0
Rv0117,0.0,Hydrogen peroxide-inducible genes activator,0.0,0.0,,0.0
Rv0118c,0.0,Oxalyl-CoA decarboxylase (EC 4.1.1.8),0.0,1.0,Involved in catabolism of oxalic acid [catalytic activity: oxalyl-CoA = formyl-CoA + CO2].,0.0
Rv0119,0.0,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3),0.0,0.0,,0.0
Rv0120c,0.0,Translation elongation factor G-related protein,0.0,0.0,,0.0
Rv0121c,0.0,PPOX class F420-dependent enzyme,0.0,1.0,Function unknown,4.0
Rv0122,0.0,,0.0,0.0,,0.0
Rv0123,0.0,"DNA-binding protein, CopG family",0.0,0.0,,0.0
Rv0124,0.0,PE-PGRS family protein,0.0,0.0,,0.0
Rv0125,0.0,Serine protease PepA,0.0,0.0,,0.0
Rv0126,0.0,Trehalose synthase (EC 5.4.99.16),0.0,0.0,,0.0
Rv0127,0.0,"Uncharacterized protein, probably involved in trehalose biosynthesis [Carbohydrate transport and metabolism]",0.0,0.0,,0.0
Rv0128,0.0,Possible membrane protein,0.0,0.0,,0.0
Rv0129c,0.0,Antigen 85-C precursor (85C) (Antigen 85 complex C) (Ag85C) (Mycolyl transferase 85C) (EC 2.3.1.-),0.0,0.0,,0.0
Rv0130,0.0,Probable enoyl-CoA hydratase 1 (EC 4.2.1.17),0.0,0.0,,0.0
Rv0131c,0.0,PROBABLE ACYL-CoA DEHYDROGENASE FADE1 (EC 1.3.99.-),0.0,0.0,,0.0
Rv0132c,0.0,F420-dependent glucose-6-phosphate dehydrogenase Fgd3,0.0,1.0,Catalyzes oxidation of glucose-6-phosphate to 6-phosphogluconolactone using coenzyme F420 (an *-hydroxy-5-deazaflavin derivative) as the electron acceptor.,0.0
Rv0133,0.0,Histone acetyltransferase HPA2 and related acetyltransferases,0.0,0.0,,0.0
Rv0134,0.0,epoxide hydrolase,0.0,0.0,,0.0
Rv0135c,0.0,"Transcriptional regulator, TetR family",0.0,0.0,,0.0
Rv0136,0.0,Cytochrome P450 138,0.0,0.0,,0.0
Rv0137c,0.0,Peptide methionine sulfoxide reductase MsrA (EC 1.8.4.11),0.0,0.0,,0.0
Rv0138,0.0,,0.0,0.0,,0.0
Rv0139,0.0,Dihydroflavonol-4-reductase (EC 1.1.1.219),0.0,1.0,Function unknown; probably involved in cellular metabolism.,2.0
Rv0140,0.0,,0.0,0.0,,0.0
Rv0141c,0.0,,0.0,0.0,,0.0
Rv0142,0.0,,0.0,0.0,,0.0
Rv0143c,0.0,Chloride channel protein,0.0,0.0,,0.0
Rv0144,0.0,"Transcriptional regulator, TetR family",0.0,0.0,,0.0
Rv0145,0.0,,0.0,0.0,,0.0
Rv0146,0.0,,0.0,0.0,,0.0
Rv0147,0.0,Aldehyde dehydrogenase (EC 1.2.1.3),0.0,1.0,Function unknown; probably involved in cellular metabolism [catalytic activity: an aldehyde + NAD+ + H2O = an acid + NADH].,2.0
Rv0148,1.0,Short-chain dehydrogenase/reductase SDR,4.0,1.0,Function unknown; possibly involved in cellular metabolism.,3.0
Rv0148,1.0,Short-chain dehydrogenase/reductase SDR,4.0,1.0,Function unknown; possibly involved in cellular metabolism.,3.0
Rv0149,0.0,Quinone oxidoreductase (EC 1.6.5.5),0.0,1.0,Possibly binds NADP and acts through a one-electron transfer process. Quinones are supposed to be the best substrates. May act in the detoxification of xenobiotics [catalytic activity: NADPH + quinone = NADP+ + semiquinone],2.0
Rv0150c,0.0,,0.0,0.0,,0.0
Rv0151c,0.0,PE family protein,0.0,0.0,,0.0
Rv0152c,0.0,PE family protein,0.0,0.0,,0.0
Rv0153c,0.0,Protein tyrosine phosphatase (EC 3.1.3.48),0.0,0.0,,0.0
Rv0154c,0.0,Butyryl-CoA dehydrogenase (EC 1.3.99.2),0.0,0.0,,0.0
Rv0155,0.0,NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2),0.0,1.0,The transhydrogenation between NADH and NADP is coupled to respiration and ATP hydrolysis and functions as a proton pump across the membrane [catalytic activity: NADPH + NAD+ = NADP+ + NADH].,0.0
Rv0156,0.0,NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2),0.0,1.0,The transhydrogenation between NADH and NADP is coupled to respiration and ATP hydrolysis and functions as a proton pump across the membrane [catalytic activity: NADPH + NAD+ = NADP+ + NADH].,0.0
Rv0157,0.0,NAD(P) transhydrogenase subunit beta (EC 1.6.1.2),0.0,1.0,The transhydrogenation between NADH and NADP is coupled to respiration and ATP hydrolysis and functions as a proton pump across the membrane [catalytic activity: NADPH + NAD+ = NADP+ + NADH].,0.0
Rv0157A,0.0,,0.0,0.0,,0.0
Rv0158,0.0,"Transcriptional regulator, TetR family",0.0,0.0,,0.0
Rv0159c,0.0,PE family protein,0.0,0.0,,0.0
Rv0160c,0.0,PE family protein,0.0,0.0,,0.0
Rv0161,0.0,putative oxidoreductase,0.0,1.0,Function unknown; probably involved in cellular metabolism.,2.0
Rv0162c,0.0,Alcohol dehydrogenase (EC 1.1.1.1),0.0,1.0,Dehydrogeneses a alcohol (OXIDO-reduction) [catalytic activity: an alcohol + NAD+ = an aldehyde or ketone + NADH].,0.0
Rv0163,0.0,putative 4-hydroxybenzoyl-CoA thioesterase,0.0,0.0,,0.0
Rv0164,0.0,,0.0,0.0,,0.0
Rv0165c,0.0,"Predicted regulator PutR for proline utilization, GntR family",0.0,0.0,,0.0
Rv0166,0.0,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3),0.0,0.0,,0.0
Rv0167,0.0,,0.0,0.0,,0.0
Rv0168,0.0,,0.0,0.0,,0.0
Rv0169,0.0,MCE-family protein Mce1A,0.0,0.0,,0.0
Rv0170,0.0,MCE-family protein Mce1B,0.0,0.0,,0.0
Rv0171,0.0,MCE-family protein Mce1C,0.0,0.0,,0.0
Rv0172,0.0,MCE-family protein Mce1D,0.0,0.0,,0.0
Rv0173,0.0,MCE-family lipoprotein LprK (MCE-family lipoprotein Mce1e),0.0,0.0,,0.0
Rv0174,0.0,MCE-family protein Mce1F,0.0,0.0,,0.0
Rv0175,0.0,FIG033430: Probable conserved MCE associated membrane protein,0.0,0.0,,0.0
Rv0176,0.0,FIG033285: Conserved MCE associated transmembrane protein,0.0,0.0,,0.0
Rv0177,0.0,FIG034772: Probable conserved MCE associated protein,0.0,0.0,,0.0
Rv0178,0.0,FIG030769: Probable conserved MCE associated membrane protein,0.0,0.0,,0.0
Rv0179c,0.0,Possible lipoprotein LprO,0.0,0.0,,0.0
Rv0180c,0.0,Possible membrane protein,0.0,0.0,,0.0
Rv0181c,0.0,Pirin-like protein Rv0181c/MT0192,0.0,0.0,,0.0
Rv0182c,0.0,RNA polymerase factor sigma-70,0.0,0.0,,0.0
Rv0183,0.0,Monoglyceride lipase (EC 3.1.1.23),0.0,0.0,,0.0
Rv0184,0.0,,0.0,0.0,,0.0
Rv0185,0.0,,0.0,0.0,,0.0
Rv0186,0.0,Beta-glucosidase (EC 3.2.1.21),0.0,0.0,,0.0
Rv0187,0.0,O-methyltransferase,0.0,0.0,,0.0
Rv0188,0.0,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN,0.0,0.0,,0.0
Rv0189c,0.0,Dihydroxy-acid dehydratase (EC 4.2.1.9),0.0,0.0,,0.0
Rv0190,0.0,,0.0,0.0,,0.0
Rv0191,0.0,"Integral membrane protein, sugar transporter",0.0,0.0,,0.0
Rv0192,0.0,YkuD domain-containing hypothetical lipoprotein,0.0,0.0,,0.0
Rv0192A,0.0,,0.0,0.0,,0.0
Rv0193c,0.0,,0.0,0.0,,0.0
Rv0194,0.0,ATP binding cassette (ABC) transporter homolog,0.0,0.0,,0.0
Rv0195,0.0,"Transcriptional regulator, LuxR family",0.0,0.0,,0.0
Rv0196,0.0,"Transcriptional regulator, TetR family",0.0,0.0,,0.0
Rv0197,0.0,"Formate dehydrogenase-O, major subunit (EC 1.2.1.2)",0.0,0.0,,0.0
Rv0198c,0.0,Metallopeptidase,0.0,0.0,,0.0
Rv0199,0.0,Possible membrane protein,0.0,0.0,,0.0
Rv0200,0.0,Possible membrane protein,0.0,0.0,,0.0
Rv0201c,0.0,,0.0,0.0,,0.0
Rv0202c,0.0,Transmembrane transport protein MmpL13,0.0,0.0,,0.0
Rv0203,0.0,POSSIBLE EXPORTED PROTEIN,0.0,0.0,,0.0
Rv0204c,0.0,Possible membrane protein,0.0,0.0,,0.0
Rv0205,0.0,Possible membrane protein,0.0,0.0,,0.0
Rv0206c,0.0,Transmembrane transport protein MmpL5,0.0,0.0,,0.0
Rv0207c,0.0,,0.0,0.0,,0.0
Rv0208c,0.0,tRNA (guanine46-N7-)-methyltransferase (EC 2.1.1.33),0.0,0.0,,0.0
Rv0209,0.0,,0.0,0.0,,0.0
Rv0210,0.0,,0.0,0.0,,0.0
Rv0211,0.0,Phosphoenolpyruvate carboxykinase [GTP] (EC 4.1.1.32),0.0,0.0,,0.0
Rv0212c,0.0,"Nicotinamide-nucleotide adenylyltransferase, NadR family (EC 2.7.7.1) / Ribosylnicotinamide kinase (EC 2.7.1.22)",0.0,1.0,Involved in transcriptional mechanism.,0.0
Rv0213c,0.0,POSSIBLE METHYLTRANSFERASE CLUSTERED WITH NadR,0.0,0.0,,0.0
Rv0214,0.0,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3),0.0,0.0,,0.0
Rv0215c,0.0,"Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)",0.0,0.0,,0.0
Rv0216,0.0,,0.0,0.0,,0.0
Rv0217c,0.0,Esterase LipW,0.0,0.0,,0.0
Rv0218,0.0,Possible membrane protein,0.0,0.0,,0.0
Rv0219,0.0,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN,0.0,0.0,,0.0
Rv0220,0.0,Esterase LipC,0.0,0.0,,0.0
Rv0221,0.0,Diacyglycerol O-acyltransferase (EC 2.3.1.20),0.0,0.0,,0.0
Rv0222,0.0,Enoyl-CoA hydratase (EC 4.2.1.17),0.0,0.0,,0.0
Rv0223c,0.0,Aldehyde dehydrogenase (EC 1.2.1.3),0.0,0.0,,0.0
Rv0224c,0.0,POSSIBLE METHYLTRANSFERASE (METHYLASE),0.0,0.0,,0.0
Rv0225,0.0,Glycosyltransferase (EC 2.4.1.-),0.0,0.0,,0.0
Rv0226c,0.0,Possible membrane protein,0.0,0.0,,0.0
Rv0227c,0.0,PROBABLE CONSERVED MEMBRANE PROTEIN,0.0,0.0,,0.0
Rv0228,0.0,Lysophospholipid acyltransferase,0.0,0.0,,0.0
Rv0229c,0.0,"Cell division protein DivIC (FtsB), stabilizes FtsL against RasP cleavage",0.0,0.0,,0.0
Rv0230c,0.0,Phosphotriesterase homology protein,0.0,0.0,,0.0
Rv0231,0.0,Acyl-CoA dehydrogenase (EC 1.3.99.3),0.0,0.0,,0.0
Rv0232,0.0,"Transcriptional regulator, TetR family",0.0,0.0,,0.0
Rv0233,0.0,Ribonucleotide-diphosphate reductase subunit beta (EC 1.17.4.1),0.0,0.0,,0.0
Rv0234c,0.0,Succinate-semialdehyde dehydrogenase [NAD] (EC 1.2.1.24); Succinate-semialdehyde dehydrogenase [NADP+] (EC 1.2.1.16),0.0,0.0,,0.0
Rv0235c,0.0,Possible membrane protein,0.0,0.0,,0.0
Rv0236A,0.0,SMALL SECRETED PROTEIN,0.0,0.0,,0.0
Rv0236c,0.0,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN,0.0,0.0,,0.0
Rv0237,0.0,Beta-hexosaminidase (EC 3.2.1.52),0.0,0.0,,0.0
Rv0238,0.0,"Transcriptional regulator, TetR family",0.0,0.0,,0.0
Rv0239,0.0,,0.0,0.0,,0.0
Rv0240,0.0,,0.0,0.0,,0.0
Rv0241c,0.0,Acyl dehydratase,0.0,0.0,,0.0
Rv0242c,1.0,3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100),4.0,1.0,Involved in the fatty acid biosynthesis pathway (first reduction step) [catalytic activity: (3R)-3-hydroxyacyl-[acyl-carrier protein] + NADP+ = 3-oxoacyl-[acyl-carrier protein] + NADPH].,1.0
Rv0243,0.0,3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9),0.0,0.0,,0.0
Rv0244c,0.0,3-methylmercaptopropionyl-CoA dehydrogenase (DmdC),0.0,0.0,,0.0
Rv0245,0.0,Nitrilotriacetate monooxygenase component B (EC 1.14.13.-),0.0,1.0,Function unknown; probably involved in cellular metabolism.,3.0
Rv0246,0.0,Possible membrane protein,0.0,0.0,,0.0
Rv0247c,0.0,Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1),0.0,0.0,,0.0
Rv0248c,0.0,Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1),0.0,1.0,Involved in interconversion of fumarate and succinate (aerobic respiration) [catalytic activity: succinate + acceptor = fumarate + reduced acceptor].,1.0
Rv0249c,0.0,putative succinate dehydrogenase [membrane anchor subunit] (succinic dehydrogenase),0.0,0.0,,0.0
Rv0250c,0.0,,0.0,0.0,,0.0
Rv0251c,0.0,Heat shock protein hsp,0.0,0.0,,0.0
Rv0252,0.0,Nitrite reductase [NAD(P)H] large subunit (EC 1.7.1.4),0.0,1.0,Involved in nitrate assimilation (denitrification) (at the second step). This enzyme is a FAD flavoprotein that also contains a siroheme and one 2FE-2S iron-sulfur center [catalytic activity: 3 NAD(P)H + nitrite = 3 NAD(P)+ + NH4OH + H2O.],0.0
Rv0253,0.0,Nitrite reductase [NAD(P)H] small subunit (EC 1.7.1.4),0.0,1.0,Involved in nitrate assimilation (denitrification); required for activity of the reductase [catalytic activity: 3 NAD(P)H + nitrite = 3 NAD(P)+ + NH4OH + H2O.],1.0
Rv0254c,0.0,Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62),0.0,0.0,,0.0
Rv0255c,0.0,Cobyric acid synthase,0.0,0.0,,0.0
Rv0256c,0.0,Predicted cobalt transporter in Mycobacteria,0.0,0.0,,0.0
Rv0257,0.0,,0.0,0.0,,0.0
Rv0258c,0.0,,0.0,0.0,,0.0
Rv0259c,0.0,Sirohydrochlorin ferrochelatase (EC 4.99.1.4),0.0,0.0,,0.0
Rv0260c,0.0,Bifunctional uroporphyrinogen-III synthetase/response regulator domain protein,0.0,0.0,,0.0
Rv0261c,0.0,Nitrate/nitrite transporter,0.0,0.0,,0.0
Rv0262c,0.0,Aminoglycoside 2'-N-acetyltransferase AAC (AAC(2')-IC),0.0,0.0,,0.0
Rv0263c,0.0,Allophanate hydrolase 2 subunit 2 (EC 3.5.1.54),0.0,0.0,,0.0
Rv0264c,0.0,Allophanate hydrolase 2 subunit 1 (EC 3.5.1.54),0.0,0.0,,0.0
Rv0265c,0.0,"ABC transporter, periplasmic iron-transport lipoprotein",0.0,0.0,,0.0
Rv0266c,0.0,5-oxoprolinase (EC 3.5.2.9),0.0,0.0,,0.0
Rv0267,0.0,Nitrate/nitrite transporter,0.0,0.0,,0.0
Rv0268c,0.0,,0.0,0.0,,0.0
Rv0269c,0.0,ATP-dependent DNA ligase (EC 6.5.1.1),0.0,0.0,,0.0
Rv0270,0.0,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3),0.0,0.0,,0.0
Rv0271c,0.0,"Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)",0.0,0.0,,0.0
Rv0272c,0.0,,0.0,0.0,,0.0
Rv0273c,0.0,"Transcriptional regulator, TetR family",0.0,0.0,,0.0
Rv0274,0.0,Glyoxalase family protein,0.0,0.0,,0.0
Rv0275c,0.0,"Transcriptional regulator, TetR family",0.0,0.0,,0.0
Rv0276,0.0,,0.0,0.0,,0.0
Rv0277c,0.0,,0.0,0.0,,0.0
Rv0278c,0.0,PE-PGRS FAMILY PROTEIN,0.0,0.0,,0.0
Rv0279c,0.0,PE-PGRS FAMILY PROTEIN,0.0,0.0,,0.0
Rv0280,0.0,PPE family protein,0.0,0.0,,0.0
Rv0281,0.0,O-Methyltransferase,0.0,0.0,,0.0
Rv0282,0.0,"AAA family ATPase, ESX-1 secretion system component Rv3868",0.0,0.0,,0.0
Rv0283,0.0,Type VII secretion protein EccB,0.0,0.0,,0.0
Rv0284,0.0,Type VII secretion protein EccCa,0.0,0.0,,0.0
Rv0285,0.0,PE family protein,0.0,0.0,,0.0
Rv0286,0.0,PPE family protein,0.0,0.0,,0.0
Rv0287,0.0,PE family protein,0.0,0.0,,0.0
Rv0288,0.0,10 kDa antigen CFP7,0.0,0.0,,0.0
Rv0289,0.0,,0.0,0.0,,0.0
Rv0290,0.0,ESX-3 secretion system protein EccD3,0.0,0.0,,0.0
Rv0291,0.0,Type VII secretion-associated serine protease mycosin MycP3,0.0,0.0,,0.0
Rv0292,0.0,ESX-3 secretion system protein EccE3,0.0,0.0,,0.0
Rv0293c,0.0,,0.0,0.0,,0.0
Rv0294,0.0,Trans-aconitate 2-methyltransferase (EC 2.1.1.144),0.0,0.0,,0.0
Rv0295c,0.0,Sulfotransferase,0.0,0.0,,0.0
Rv0296c,0.0,Choline-sulfatase (EC 3.1.6.6),0.0,0.0,,0.0
